Parameter Code;Analysis Method Code;Unit;Parameter Long Name;Method Name;Method Type;Method Number;Method Source;Method Description
Ga-Tot;VMV_2459;µg/l;Gallium - Total;Total recoverable metals with thermal digestion and inductively coupled plasma mass spectrometry;Spectroscopy;VMV Method;VMV Method;
Ga-Tot;VMV_2960;µg/l;Gallium - Total;"Total metals in water by ""in bottle"" digestion are analyzed by ICP-MS/ICP-OES.";Spectroscopy;VMV Method;VMV Method;
Ga-Tot;VMV_3528;µg/l;Gallium - Total;Total metals by CRC-ICP-MS with in-bottle digestion and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Ga-Tot;VMV_3583;µg/l;Gallium - Total;Total metals by CRC-ICP-MS and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
H-Ca;0;mg/l;Hardness - Calcium;;;;;Undefined Analysis Method
H-Mg;0;mg/l;Hardness - Magnesium;;;;;Undefined Analysis Method
H-NC;H-NC-CALC-H-Alk;mg/l;Hardness - NonCarbonate;Non-Carbonate Hardness by Calculation;Calculation;;;Hardness, non-carbonate (mg/L as CaCO3) = Hardness (me/L) - Alkalinity (me/L) *50.05
H-NC;VMV_428;mg/l;Hardness - NonCarbonate;Calculated method VMV_428;Calculation;VMV Method;VMV Method;
H-T;0;mg/l;Hardness - Total;;;;;Undefined Analysis Method
H-T;APHA2340_BC_2012;mg/l;Hardness - Total;Hardness by Calculation or Colorimetric Titration with EDTA;Titration;SM 2340 B, C;APHA 2012;
H-T;H-T-CALC-Ca-Mg;mg/l;Hardness - Total;Hardness by Calculation;Calculation;SM 2340 B;APHA 2012;Total Hardness as mg CaCO3/L = 2.497 * Ca [mg/L] + 4.117 * Mg [mg/L]
H-T;ISO11885_1996;mg/l;Hardness - Total;Determination of selected elements by inductively coupled plasma optical emission spectrometry (ICP-;Spectroscopy;ISO 1996;ISO 1996;
H-T;ISO14911_1999;mg/l;Hardness - Total;Determination of dissolved Li, Na, NH4, K, Mn, Ca, Mg, Srand Ba using ion chromatography;Chromatography;ISO 1999;ISO 1999;
H-T;T-COL-EDTA-EBT;mg/l;Hardness - Total;Colorimetric Titration with EDTA using Eriochrome Black T as Indicator;Titration;SM 2340 C;APHA 2012;If turbid, the sample aliquot is filtered through a 0.45 µm membrane filter. The titration method depends on the ability of the ethylenediamine tetraacetic acid (EDTA) and its sodium salts to form stable unionised complexes with calcium and magnesium ions. A buffer solution (NH4Cl, NH4OH, and Mg salt of EDTA) is added to a sample aliquot to adjust the pH between 10.1 - 10.2, followed by an indicator (Eriochrome Black T) (See Appendix 8) forming a pink complex. Upon titration, the EDTA removes the calcium and magnesium from the complex dye and changes the solution to its original blue colour as an end point.
H-T;VMV_10335;mg/l;Hardness - Total;BC MELP EMS Code: CCAL (Extractable).;Spectroscopy;VMV Method;VMV Method;
H-T;VMV_313;mg/l;Hardness - Total;Total hardness;Titration;VMV Method;VMV Method;
H-T;VMV_422;mg/l;Hardness - Total;Total hardness by calculated method VMV_422;Calculation;VMV Method;VMV Method;
H-T;VMV_423;mg/l;Hardness - Total;Total hardness by calculated method VMV_423;Calculation;VMV Method;VMV Method;
H-T;VMV_472;mg/l;Hardness - Total;Hardness calculated using the cations magnesium and calcium.;Calculation;VMV Method;VMV Method;
H2S;0;mg/l;Dihydridosulfur;;;;;Undefined Analysis Method
H2S;T-COL-I;mg/l;Dihydridosulfur;Iodometric Method;Titration;SM 4500-S2- F;APHA 2012;Pretreatment: Put 1mL zinc acetate solution and 0.5 mL of 6N NaOH into a 500mL glass bottle. Fill with sample and add 0.5 mL of 6N NaOH solution. Mix solution together and add enough NaOH to reach a pH above 9. Let precipitate rest for 30 min. Collect precipitate on glass fibre filter and continue with titration. Titration: Measure from a buret into a 500mL flask an amount of iodine solution estimated to be an excess amount over the amount of sulphide present. Add distilled water if necessary to bring volume to 20mL. Add 2mL 6N HCl. Pipet 200mL sample into flask. If iodine colour disappears add more iodine until colour remains. Back titrate with Na2S2O3 solution adding a few drops of starch solution as endpoint is approached and continuing until blue colour disappears. If the sulphide was precipitated with zinc and ZnS filtered out, return filter with precipitate to original bottle and add about 100mL water. Add iodine solution and HCl and titrate as per instructions above.
HA;COL-UV-FLR;mg/l;Humic Acid;UV Spectrofluorimetry;Colorimetry;ENV 175;Environment Canada 2007;If turbid, sample is passed through a 0.45 µ membrane filter. The pH of the filtrate is adjusted to 6.0. An aliquot of the filtrate is then excited at 270 mu and the fluorescent emission measured spectrofluorimetrically at 452 mu, and compared with those of standard purified humic acid solutions. (It can also be measured at 250 mu). Interference: water background fluorescence.
HALOXYFOP-METHYL;0;µg/l;Haloxyfop Methyl;;;;;Undefined Analysis Method
HC-Tot;0;µg/l;Total Hydrocarbons;;;;;Undefined Analysis Method
HCB;0;µg/l;Hexachlorobenzene;;;;;Undefined Analysis Method
HCB;APAT5060_2003;µg/l;Hexachlorobenzene;Plant protection products (LLE or SPE + GC-NPD or HPLC-UV or GC-MS);Chromatography;APAT 2003;APAT 2003;
HCB;EPA8080A;µg/l;Hexachlorobenzene;Organochlorine Pesticides and Polychlorinated Biphenyls by Gas Chromatography;Chromatography;8080A;EPA 1994;
HCB;EPA8270D;µg/l;Hexachlorobenzene;Semivolatile Organic Compounds by Gas Chromatography/Mass Spectrometry;Chromatography;8270D;EPA 1998;
HCB;ISO6468_1996;µg/l;Hexachlorobenzene;Determination of organochlorine pesticides by GC/ECD;Chromatography;6468;ISO 1996;
HCB;MI_C_10_007REV1_2000;µg/l;Hexachlorobenzene;analisi - MI/C/10/007 REV 1: 2000 - MATRICE ACQUA. DETERMINAZIONE DI RESIDUI DI PRODOTTI FITOSANITAR;;;;
HCB;PB-04;µg/l;Hexachlorobenzene;PB-04/2006/PEl;;PB-04;PB-04;
HCB;VMV_2863;ng/l;Hexachlorobenzene;Analysis of OCs, PCBs, CBs and PAHs in 1 L water samples by GC-ECD and GC-MSD.;Chromatography;VMV Method;VMV Method;
HCB;VMV_3654;ng/l;Hexachlorobenzene;Chlorobenzenes and organochlorine pesticides by liquid-liquid extraction and GC-MS/MS detection.;Chromatography;VMV Method;VMV Method;
HCCPD;0;µg/l;Hexachlorocyclopentadiene;;;;;Undefined Analysis Method
HCO3;0;mg/l;Hydrogencarbonate;;;;;Undefined Analysis Method
HCO3;APHA2320_B_2012;mg/l;Hydrogencarbonate;Alkalinity - Titration Method;Titration;SM 2320 B;APHA 2012;
HCO3;VMV_135;mg/l;Hydrogencarbonate;Calculated value VMV 135;Calculation;VMV Method;VMV Method;
HEPTACHLOR;0;µg/l;Heptachlor;;;;;Undefined Analysis Method
HEPTACHLOR;APAT5060_2003;µg/l;Heptachlor;Plant protection products (LLE or SPE + GC-NPD or HPLC-UV or GC-MS);Chromatography;APAT 2003;APAT 2003;
HEPTACHLOR;EPA8080A;µg/l;Heptachlor;Organochlorine Pesticides and Polychlorinated Biphenyls by Gas Chromatography;Chromatography;8080A;EPA 1994;
HEPTACHLOR;EPA8270D;µg/l;Heptachlor;Semivolatile Organic Compounds by Gas Chromatography/Mass Spectrometry;Chromatography;8270D;EPA 1998;
HEPTACHLOR;GC;µg/l;Heptachlor;Gas Chromatography;Chromatography;;;
HEPTACHLOR;GC-ECD;µg/l;Heptachlor;Gas Chromatography with Electron Capture Detection;Chromatography;;;
HEPTACHLOR;GS-MS;µg/l;Heptachlor;Gas Chromatography with Mass Spectrometry Detection;Chromatography;;;
HEPTACHLOR;ISO6468_1996;µg/l;Heptachlor;Determination of organochlorine pesticides by GC/ECD;Chromatography;6468;ISO 1996;A sample is extracted with 100ml of hexane, after separation of the phases, the organic phase is concentrated until 1ml by means of an automatic concentrator then analyzed by GC-µ ECD or GC- MS. In the case of the strongly polluted samples or containing polar substances susceptible to disrupt the interpretation of the chromatogram by the appearance of unknown peaks covering the peaks of the sought  compounds we proceed to a purification on a filled column of florisil éluant with two fractions of hexane-ether diéthylique F1 (94 :6) and F2 (50 :50). The confirmation is made on a column of different polarity or by GC / MS
HEPTACHLOR;LLE-GC-ECD;µg/l;Heptachlor;Liquid-Liquid Extraction Gas Chromatographic Method I with Electron Capture Detector;Chromatography;SM 6630 B;APHA 2012;A 1 litre sample is extracted by benzene or hexane, and the extract dried, concentrated and cleaned up on a Florisil column for the preliminary separation. The eluates are concentrated, and injected into a gas chromatograph using electron capture detection. The pesticide is confirmed qualitatively by thin layer chromatography (TLC) and measured quantitatively by comparing the non-solvent areas of the chromatogram to those of standard solutions of the purified pesticide.
HEPTACHLOR;VMV_2863;ng/l;Heptachlor;Analysis of OCs, PCBs, CBs and PAHs in 1 L water samples by GC-ECD and GC-MSD.;Chromatography;VMV Method;VMV Method;
HEPTACHLOR;VMV_3654;ng/l;Heptachlor;Chlorobenzenes and organochlorine pesticides by liquid-liquid extraction and GC-MS/MS detection.;Chromatography;VMV Method;VMV Method;
HEPTACHLOREPOX;0;µg/l;Heptachlor Epoxide;;;;;Undefined Analysis Method
HEPTACHLOREPOX;EPA8080A;µg/l;Heptachlor Epoxide;Organochlorine Pesticides and Polychlorinated Biphenyls by Gas Chromatography;Chromatography;8080A;EPA 1994;
HEPTACHLOREPOX;GC;µg/l;Heptachlor Epoxide;Gas Chromatography;Chromatography;;;
HEPTACHLOREPOX;ISO6468_1996;µg/l;Heptachlor Epoxide;Determination of organochlorine pesticides by GC/ECD;Chromatography;6468;ISO 1996;A sample is extracted with 100ml of hexane, after separation of the phases, the organic phase is concentrated until 1ml by means of an automatic concentrator then analyzed by GC-µ ECD or GC- MS. In the case of the strongly polluted samples or containing polar substances susceptible to disrupt the interpretation of the chromatogram by the appearance of unknown peaks covering the peaks of the sought  compounds we proceed to a purification on a filled column of florisil éluant with two fractions of hexane-ether diéthylique F1 (94 :6) and F2 (50 :50). The confirmation is made on a column of different polarity or by GC / MS
HEPTACHLOREPOX;LLE-GC-ECD;µg/l;Heptachlor Epoxide;Liquid-Liquid Extraction Gas Chromatographic Method I with Electron Capture Detector;Chromatography;SM 6630 B;APHA 2012;A 1 litre sample is extracted by benzene or hexane, and the extract dried, concentrated and cleaned up on a Florisil column for the preliminary separation. The eluates are concentrated, and injected into a gas chromatograph using electron capture detection. The pesticide is confirmed qualitatively by thin layer chromatography (TLC) and measured quantitatively by comparing the non-solvent areas of the chromatogram to those of standard solutions of the purified pesticide.
HEPTACHLOREPOX;VMV_2863;ng/l;Heptachlor Epoxide;Analysis of OCs, PCBs, CBs and PAHs in 1 L water samples by GC-ECD and GC-MSD.;Chromatography;VMV Method;VMV Method;
HEPTACHLOREPOX;VMV_3654;ng/l;Heptachlor Epoxide;Chlorobenzenes and organochlorine pesticides by liquid-liquid extraction and GC-MS/MS detection.;Chromatography;VMV Method;VMV Method;
HEXACHLORETHANE;0;µg/l;Hexachloroethane;;;;;Undefined Analysis Method
HEXAZINONE;0;µg/l;Hexazinone;;;;;Undefined Analysis Method
HYDRAZOBENZENE;0;µg/l;1,2-Diphenylhydrazine;;;;;Undefined Analysis Method
HeptaBDE;0;µg/l;Heptabromodiphenylether;;;;;Undefined Analysis Method
HeptaBDE;VMV_3221;pg/l;Heptabromodiphenylether;Analysis of polybrominated diphenyl ethers in solids using GC-HRMS Technique Q0512D0.;Chromatography;VMV Method;VMV Method;
HeptaBDE;VMV_3228;pg/l;Heptabromodiphenylether;Analysis of polybrominated diphenyl ethers (PBDE) in water, biological tissues, sediment and soils;Chromatography;VMV Method;VMV Method;CEAEQ Method not available.
HexaBDE;0;µg/l;Hexabromodiphenylether;;;;;Undefined Analysis Method
HexaBDE;VMV_3221;pg/l;Hexabromodiphenylether;Analysis of polybrominated diphenyl ethers in solids using GC-HRMS Technique Q0512D0.;Chromatography;VMV Method;VMV Method;
HexaBDE;VMV_3228;pg/l;Hexabromodiphenylether;Analysis of polybrominated diphenyl ethers (PBDE) in water, biological tissues, sediment and soils;Chromatography;VMV Method;VMV Method;CEAEQ Method not available.
Hg-Dis;0;µg/l;Mercury - Dissolved;;;;;Undefined Analysis Method
Hg-Dis;AAS-CV-SA-PPM-PPS;µg/l;Mercury - Dissolved;Cold-Vapor Atomic Absorption Spectrometric Method with H2SO4, KMnO4 and K2S2O8 Digestion;Spectroscopy;SM 3112 B;APHA 2012;A sample is filtered in the field through a 0.45 µm membrane filter and preserved with potassium dichromate and sulphuric acid. The sample aliquot is digested with sulphuric acid, potassium permanganate and potassium persulphate. The mercury compounds are reduced with stannous sulphate in a hydroxylamine sulphate-sodium chloride solution to elemental mercury, then sparged from the solution with a stream of air and the absorption is measured spectrometrically, using a mercury lamp, at 253.7 nm and compared to identically-prepared standard and blank solutions.
Hg-Dis;APAT3200_2003;µg/l;Mercury - Dissolved;Mercury (CV-AAS + oxidation with KMnO4, or HNO3+microwave, or HNO3+microwave and amalgam on gold);Spectroscopy;APAT 2003;APAT 2003;
Hg-Dis;APHA3120_B_2005;µg/l;Mercury - Dissolved;Inductively Coupled Plasma (ICP) Method (APHA 2005);Spectroscopy;3120 B;APHA 2005;
Hg-Dis;EN12338_2001;µg/l;Mercury - Dissolved;DETERMINATION OF MERCURY - ENRICHMENT METHODS BY AMALGAMATION;Spectroscopy;EN 2001;EN 2001;
Hg-Dis;EN1483_2007;µg/l;Mercury - Dissolved;Determination of mercury - Method using atomic absorption spectrometry;Spectroscopy;EN 2007;EN 2007;
Hg-Dis;EPA245_1;µg/l;Mercury - Dissolved;Determination of Mercury in Water by Cold Vapor Atomic Absorption Spectrometry;Spectroscopy;245.1;EPA 1994;
Hg-Dis;ISO11885_1996;µg/l;Mercury - Dissolved;Determination of selected elements by inductively coupled plasma optical emission spectrometry (ICP-;Spectroscopy;ISO 1996;ISO 1996;
Hg-Dis;ISO15586_2003;µg/l;Mercury - Dissolved;Determination of trace elements using atomic absorption spectrometry with graphite furnace;Spectroscopy;ISO 2003;ISO 2003;
Hg-Dis;ISO17294-2_2004;µg/l;Mercury - Dissolved;Application of inductively coupled plasma mass spectrometry (ICP-MS) - Part 2: Determination of sele;Spectroscopy;17294-2;ISO 2004;
Hg-Dis;VMV_3656;ng/l;Mercury - Dissolved;Mercury in water is determined by spectrometric fluorescence.;Colorimetry;VMV Method;VMV Method;
Hg-Ext;VMV_1611;µg/l;Mercury - Extractable;Mercury by flameless atomic absorption on autoanalyzer;Spectroscopy;VMV Method;VMV Method;
Hg-Sus;VMV_4054;ng/l;Mercury - Suspended;Low level mercury in water is analyzed by atomic fluorescence using a gold trap.;Spectroscopy;VMV Method;VMV Method;
Hg-Sus;VMV_4055;µg/l;Mercury - Suspended;Total mercury in water is analyzed by atomic fluorescence.;Spectroscopy;VMV Method;VMV Method;
Hg-Tot;0;µg/l;Mercury - Total;;;;;Undefined Analysis Method
Hg-Tot;AAS-CV-SA-PDC-UV;µg/l;Mercury - Total;Cold-Vapor Atomic Absorption Spectrometric Method with H2SO4, Cr2K2O7 and UV Digestion;Spectroscopy;SM 3112 B;APHA 2012;The sample is preserved in the field with potassium dichromate and sulphuric acid. The shaken sample aliquot and its particulates are digested with sulphuric acid, potassium dichromate and ultra violet (UV) photo-oxidation. The mercury compounds are reduced with stannous sulphate in a hydroxylamine sulphate-sodium chloride solution to elemental mercury, then sparged from the solution with a stream of air and the absorption is measured spectrometrically, using a mercury lamp, at 253.7 nm and compared to identically-prepared standard and blank solutions. The method is applicable to surface, ground and saline waters.
Hg-Tot;AAS-CV-SA-PPM-PPS;µg/l;Mercury - Total;Cold-Vapor Atomic Absorption Spectrometric Method with H2SO4, KMnO4 and K2S2O8 Digestion;Spectroscopy;SM 3112 B;APHA 2012;A sample is preserved in the field with potassium dichromate and sulphuric acid. The shaken sample aliquot is digested with sulphuric acid, potassium permanganate and potassium persulphate. The mercury compounds are reduced with stannous sulphate, in a hydroxylamine sulphate-sodium chloride solution, to elemental mercury, then sparged from the solution with a stream of air and the absorption is measured spectrometrically, using a mercury lamp, at 253.7 nm and compared to identically-prepared standard and blank solutions.
Hg-Tot;AFS-CV;µg/l;Mercury - Total;Cold Vapor Atomic Fluorescence Spectrometry;Spectroscopy;;;
Hg-Tot;APAT3020_2003;µg/l;Mercury - Total;Determination of chemical elements by emission spectroscopy with plasma source (ICP-OES);Spectroscopy;APAT 2003;APAT 2003;
